Title,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy
CHEMBL4107511,-12.621,-0.332,-1.117,-2.722,-12.622,-4.276,-0.972,-2.747,-67.657,-11.377,0.572,-0.11,-114.773,-79.034
CHEMBL4107511,-12.621,-0.332,-1.117,-2.722,-12.622,-4.276,-0.972,-2.747,-67.657,-11.377,0.572,-0.11,-114.773,-79.034
CHEMBL4115463,-12.586,-0.35,-1.154,-2.746,-12.828,-3.35,-0.763,-3.131,-58.122,-22.197,0.764,-0.113,-146.6,-80.319
CHEMBL255867,-12.559,-0.465,-1.395,-2.923,-13.025,-3.981,-0.938,-3.399,-48.952,-16.682,0.413,-0.17,-131.349,-65.634
CHEMBL4109707,-12.447,-0.366,-1.186,-2.75,-12.51,-3.639,-0.611,-3.355,-57.632,-18.155,0.739,-0.039,-130.566,-75.787
CHEMBL4109707,-12.447,-0.366,-1.186,-2.75,-12.51,-3.639,-0.611,-3.355,-57.632,-18.155,0.739,-0.039,-130.566,-75.787
CHEMBL4109707,-12.447,-0.366,-1.186,-2.75,-12.51,-3.639,-0.611,-3.355,-57.632,-18.155,0.739,-0.039,-130.566,-75.787
CHEMBL4114212,-12.29,-0.315,-1.069,-2.635,-12.449,-3.487,-0.784,-3.173,-50.712,-19.638,0.689,-0.213,-111.855,-70.35
CHEMBL4114212,-12.29,-0.315,-1.069,-2.635,-12.449,-3.487,-0.784,-3.173,-50.712,-19.638,0.689,-0.213,-111.855,-70.35
CHEMBL4113747,-12.225,-0.33,-1.101,-2.651,-12.225,-3.592,-0.729,-2.711,-64.176,-16.626,0.592,-0.083,-126.38,-80.802
CHEMBL256733,-12.199,-0.452,-1.355,-2.84,-12.255,-3.412,-0.808,-3.306,-43.917,-19.967,0.576,-0.115,-119.245,-63.884
CHEMBL403358,-12.19,-0.488,-1.426,-2.889,-12.246,-3.047,-0.801,-3.609,-46.363,-19.083,0.498,-0.107,-125.658,-65.446
CHEMBL255446,-12.151,-0.434,-1.318,-2.805,-12.179,-3.589,-0.785,-3.483,-47.138,-15.856,0.552,-0.138,-119.534,-62.995
CHEMBL255873,-12.142,-0.506,-1.459,-2.906,-12.198,-3.115,-0.803,-3.815,-43.983,-17.776,0.549,-0.147,-120.632,-61.759
CHEMBL5080176,-12.113,-0.319,-1.072,-2.612,-12.232,-4.751,-0.843,-2.075,-53.505,-14.869,0.463,-0.121,-122.869,-68.374
CHEMBL4106614,-12.083,-0.336,-1.108,-2.636,-12.238,-3.765,-0.461,-3.159,-60.444,-16.932,0.744,-0.035,-139.761,-77.376
CHEMBL4109707,-12.037,-0.354,-1.147,-2.659,-12.1,-3.418,-0.555,-3.387,-57.177,-17.14,0.739,-0.049,-126.241,-74.317
CHEMBL4109707,-12.037,-0.354,-1.147,-2.659,-12.1,-3.418,-0.555,-3.387,-57.177,-17.14,0.739,-0.049,-126.241,-74.317
CHEMBL4109707,-12.037,-0.354,-1.147,-2.659,-12.1,-3.418,-0.555,-3.387,-57.177,-17.14,0.739,-0.049,-126.241,-74.317
CHEMBL4114212,-12.017,-0.308,-1.045,-2.577,-12.176,-3.566,-0.753,-2.855,-50.673,-19.814,0.689,-0.185,-112.508,-70.487
CHEMBL4114212,-12.017,-0.308,-1.045,-2.577,-12.176,-3.566,-0.753,-2.855,-50.673,-19.814,0.689,-0.185,-112.508,-70.487
CHEMBL3922501,-12.005,-0.316,-1.062,-2.589,-12.005,-4.248,-0.478,-2.075,-50.423,-19.567,0.427,-0.175,-121.292,-69.99
CHEMBL255445,-11.99,-0.444,-1.332,-2.791,-12.018,-3.974,-0.795,-3.025,-50.183,-14.7,0.593,-0.104,-122.158,-64.884
