Molecule ChEMBL ID,Smiles
CHEMBL3916358,CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCCC1(O)CC1
CHEMBL4112445,CC(C)CCNc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O
CHEMBL4108001,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(Cl)cnc32)cc1Nc1cnn(C2CCOCC2)c1
CHEMBL4115184,CC(C)Nc1cc(-n2cnc3cc(Cl)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O
CHEMBL4112745,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2cnc3cc(Cl)cnc32)cc1NC1COC1
CHEMBL4109693,CCn1cc(Nc2cc(-n3cnc4cc(Cl)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)cn1
CHEMBL4109109,CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)OC(F)F
CHEMBL3929809,CC(=O)N[C@H]1CC[C@H](NC(=O)c2cnc(-n3ccc4cc(C#N)cnc43)cc2NC2CC2)CC1
CHEMBL3953510,CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)N[C@H]1CC[C@H](S(C)(=O)=O)CC1
CHEMBL4115327,COc1cnc(N2CC[C@@H](Nc3cc(-n4ncc5cc(C#N)cnc54)ncc3C(=O)NC[C@@H](F)C(C)(C)O)C2)nc1
CHEMBL4114375,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NC1COC1
CHEMBL3911745,CC(C)Nc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)N[C@H]1CC[C@](C)(O)CC1
CHEMBL3950081,O=C(Nc1cc(CO)ccc1N1CCCCC1)c1cnn2cccnc12
CHEMBL3919786,CNC(=O)[C@H]1CC[C@H](NC(=O)c2cnc(-n3ncc4cc(C#N)c(N)nc43)cc2N[C@H]2CCCC[C@@H]2F)CC1
CHEMBL3894101,CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NC1CCc2nc(N)sc2C1
CHEMBL4106513,CC(C)(F)[C@H](F)CNC(=O)c1cnc(-n2cnc3cc(C#N)cnc32)cc1NC1COC1
CHEMBL4107861,C[N+]1=C(Nc2cc(-n3ccc4cc(C#N)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)CC=N1
CHEMBL4452521,Cn1cc(Nc2nc(N[C@H]3CC[C@H](N4CCOCC4)CC3)c3cc(C#N)ccc3n2)cn1
CHEMBL3919932,O=C(Nc1cc2cccnc2cc1OC1CCNC1)c1csc2cncnc12
CHEMBL3952937,COc1cc2ncccc2cc1NC(=O)c1cnn2cccnc12
CHEMBL3622517,CN1CCN(c2nc(N[C@@H]3C[C@H](CO)[C@@H](O)[C@H]3O)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1
CHEMBL4070515,COc1cc2c(OC[C@H]3NC(=O)C[C@H]3C)nccc2cc1C(N)=O
CHEMBL4104133,CC(C)Oc1cc2ccccc2cc1C(N)=O
CHEMBL4079243,COC[C@@H]1CC(=O)N[C@@H]1COc1nccc2cc(C(N)=O)c(OC)cc12
CHEMBL4071526,COc1cc2c(OC[C@H]3NC(=O)[C@H](F)[C@H]3C)nccc2cc1C(N)=O
CHEMBL4109321,COc1ccc(N2CC3CC2CN3c2nc(N[C@@H]3CCCNC3)c(-c3ccc4ccccc4n3)c(=O)[nH]2)cc1
CHEMBL3925654,Cc1sc(-c2cnc(Nc3ccc4ncsc4c3)cc2NC(C)C)nc1C(=O)NCCCN1CCCCC1
CHEMBL4109337,O=c1[nH]c(N2CC3(COC3)C2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1
CHEMBL4066705,CC[C@H]1[C@@H](COc2nccc3cc(C(N)=O)c(OC)cc23)NC(=O)[C@@H]1F
CHEMBL3981389,CN1CCC(c2cc(NC(=O)c3cnn4cccnc34)n(-c3ccc(F)cc3F)n2)CC1
CHEMBL3944066,O=C(Nc1cc(C2CCNCC2)nn1-c1ccc(Br)cc1F)c1cnn2cccnc12
CHEMBL403433,COc1ccc2ncc(-c3cccc(NC4CNC4)n3)n2c1
CHEMBL256733,CN(C)C(=O)c1ccc2ncc(-c3cccc(NC4CCNCC4)n3)n2c1
CHEMBL256513,NCCCNc1cccc(-c2cnc3ccccn23)n1
CHEMBL4225923,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(C(NC(C)(C)C)c3ccccn3)ns2)n1
CHEMBL4108325,COC(C)(C)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC(C)C
CHEMBL4112293,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1N[C@H]1CC[C@H](C(C)(C)O)CC1
CHEMBL3590474,Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C(N)=O)n1
CHEMBL3590475,Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)cn1
CHEMBL3908035,CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)N[C@H]1CC[C@H](C(C)(C)O)C1
CHEMBL4115569,CCC(O)(CC)[C@H](F)CNC(=O)c1cnc(-n2ncc3cncnc32)cc1NC(C)C
CHEMBL3931392,CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCCC1CCN(C)CC1
CHEMBL3933400,CC(F)[C@H](C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O
CHEMBL3634512,Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(Cl)n1
CHEMBL3950330,CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCC(F)C1CCOCC1
CHEMBL4111778,CC(C)Nc1cc(-n2ncc3cc(Cl)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)F
CHEMBL3902784,CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCCC1(O)CCC(F)(F)CC1
CHEMBL4109159,Cc1ccc(CNc2cc(-n3ccc4cc(C#N)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)cn1
CHEMBL4112222,CC(C)n1cc(Nc2cc(-n3cnc4cc(Cl)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)cn1
CHEMBL3971510,CCCNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1Nc1cnn(CC(F)F)c1
CHEMBL4113759,Cn1cc(Nc2cc(-n3ncc4cc(Cl)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)cn1
CHEMBL4110921,CC(=O)N1CCC2(CCN(c3nc(N[C@@H]4CCCNC4)c(-c4nc5ccccc5s4)c(=O)[nH]3)C2)C1
CHEMBL4111625,O=c1[nH]c(N2CCC3(CCN(Cc4ccccc4)C3)C2)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1
CHEMBL4107435,O=c1[nH]c(C2CCN(C3CCCC3)CC2)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1
CHEMBL4113480,O=c1[nH]c(NC2CC(F)(F)C2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1
CHEMBL4114411,CC(C)Nc1cc(-n2ccc3cc(CNC(=O)NCc4ccccc4)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O
CHEMBL2018065,Cc1nc(N)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1
CHEMBL3403443,Nc1ncc(-c2ccc3ccccc3n2)c(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)n1
CHEMBL4089510,CN(C)C(=O)c1cnc(Nc2ccc3ncsc3c2)cc1N[C@H](CO)Cc1ccccc1
CHEMBL4075955,CNC(=O)c1cnc(Nc2ccc3ncsc3c2)cc1N[C@@H](c1ccccc1)[C@H](O)CO
CHEMBL4075758,CNC(=O)c1cnc(Nc2ccc3c(c2)CC(=O)N3C)cc1N[C@@H](c1ccccc1)[C@H](O)CO
CHEMBL4081502,CN(C)[C@H]1CC[C@H](Nc2ncnc3[nH]cc(C4CCOC4)c23)CC1
CHEMBL3921461,COc1cc(C(=O)Nc2ccccc2)c(Cl)cc1NC(=O)c1cnn2cccnc12
CHEMBL4061227,CN(C)[C@H]1CC[C@H](Nc2ncnc3[nH]cc(C4CCCOC4)c23)CC1
CHEMBL3353209,Cc1ccc(-n2nc(N3CCN(C4CCC4)CC3)cc2NC(=O)c2cnn3cccnc23)nc1
CHEMBL482708,CN(c1nccc(-c2cnc3ccccn23)n1)C1CCCCC1
CHEMBL3958433,Cc1ccc(-n2nc(C3CCN(S(C)(=O)=O)CC3)cc2NC(=O)c2cnn3cc(Br)cnc23)nc1
CHEMBL3895793,O=C(Nc1cc2cccnc2cc1N1CCCCC1)c1cnn2ccccc12
CHEMBL3922358,COc1ccc(-n2nc(C3CCN(S(=O)(=O)C4CC4)CC3)cc2NC(=O)c2cnn3cccnc23)c(F)c1
CHEMBL4107242,Cc1nccc2sc(-c3c(N[C@@H]4CCCNC4)nc(N4CCOCC4)[nH]c3=O)nc12
CHEMBL4111047,NC(=O)c1ccc2sc(-c3c(N[C@@H]4CCCNC4)nc(N4CCOCC4)[nH]c3=O)nc2c1
CHEMBL4293161,CN(C)[C@H]1CC[C@H](Nc2ncnn3ccc([C@H]4CC[C@@H](C(N)=O)CC4)c23)CC1
CHEMBL4110755,CS(=O)(=O)N1CCC(Nc2nc(N[C@@H]3C[C@H](CO)[C@@H](O)[C@H]3O)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1
CHEMBL4544284,O=C(Nc1cc2cnc(N3CCOCC3)nc2cc1N1CCCCC1)c1cnn2cccnc12
CHEMBL4554579,O=C(Nc1cc2[nH]cnc2cc1N1CCC(CO)CC1)c1cnn2cccnc12
