Molecule ChEMBL ID,Standard Value
CHEMBL3916358,6.2
CHEMBL4112445,3.2
CHEMBL4108001,6.5
CHEMBL4115184,4.0
CHEMBL4112745,10.0
CHEMBL4109693,2.9
CHEMBL4109109,13.7
CHEMBL3929809,1.9
CHEMBL3953510,6.8
CHEMBL4115327,8.1
CHEMBL4114375,3.7
CHEMBL3911745,4.6
CHEMBL3950081,199.0
CHEMBL3919786,2.2
CHEMBL3894101,9.1
CHEMBL4106513,13.5
CHEMBL4107861,6.0
CHEMBL4452521,59.0
CHEMBL3919932,455.0
CHEMBL3952937,43.0
CHEMBL3622517,43.0
CHEMBL4070515,52.3
CHEMBL4104133,2087.0
CHEMBL4079243,12.1
CHEMBL4071526,1.9
CHEMBL4109321,757.0
CHEMBL3925654,2.7
CHEMBL4109337,8.9
CHEMBL4066705,0.1
CHEMBL3981389,1000.0
CHEMBL3944066,1000.0
CHEMBL403433,7.0
CHEMBL256733,49.0
CHEMBL256513,1300.0
CHEMBL4225923,380.0
CHEMBL4108325,1.6
CHEMBL4112293,4.0
CHEMBL3590474,0.3
CHEMBL3590475,14.0
CHEMBL3908035,6.3
CHEMBL4115569,9.3
CHEMBL3931392,2.6
CHEMBL3933400,3.9
CHEMBL3634512,0.5
CHEMBL3950330,4.9
CHEMBL4111778,4.3
CHEMBL3902784,6.5
CHEMBL4109159,18.4
CHEMBL4112222,4.3
CHEMBL3971510,4.0
CHEMBL4113759,4.9
CHEMBL4110921,13.0
CHEMBL4111625,27.0
CHEMBL4107435,620.0
CHEMBL4113480,324.0
CHEMBL4114411,8.2
CHEMBL2018065,1060.0
CHEMBL3403443,104.0
CHEMBL4089510,14600.0
CHEMBL4075955,5.0
CHEMBL4075758,10.0
CHEMBL4081502,120.0
CHEMBL3921461,7915.0
CHEMBL4061227,16.0
CHEMBL3353209,100.0
CHEMBL482708,400.0
CHEMBL3958433,100.0
CHEMBL3895793,8.0
CHEMBL3922358,100.0
CHEMBL4107242,5.7
CHEMBL4111047,10.0
CHEMBL4293161,7762.47
CHEMBL4110755,545.0
CHEMBL4544284,3000.0
CHEMBL4554579,330.0
CHEMBL4111327,296.4
CHEMBL4110006,4260.0
CHEMBL4103497,28.4
CHEMBL4096446,3.0
CHEMBL4091329,7400.0
CHEMBL4087705,410.0
CHEMBL3899446,100.0
CHEMBL3950656,2.0
CHEMBL3937613,124.0
CHEMBL4113091,10.9
CHEMBL4112091,9.0
CHEMBL4110923,94.0
CHEMBL4283453,676.08
CHEMBL3960714,14.7
CHEMBL3901098,100.0
CHEMBL3926498,1000.0
CHEMBL3956279,14.8
CHEMBL4439748,34.0
CHEMBL4439748,1.0
CHEMBL3945366,17.0
CHEMBL3918080,8.6
CHEMBL4107958,42.0
CHEMBL3586484,1000.0
CHEMBL1929238,30000.0
CHEMBL4115147,71.0
CHEMBL4115180,5.4
CHEMBL4107960,13.5
CHEMBL4110170,12.5
CHEMBL3923081,17.2
CHEMBL4108032,8.2
CHEMBL3985063,6.3
CHEMBL4112913,1.6
CHEMBL4106539,42.0
CHEMBL4107000,345.0
CHEMBL4107488,258.0
CHEMBL3586508,100.0
CHEMBL3932967,100.0
CHEMBL3586504,100.0
CHEMBL3953153,16.0
CHEMBL3905839,14.8
CHEMBL3946114,4.1
CHEMBL3970192,7.3
CHEMBL3957369,1000.0
CHEMBL4107284,1.9
CHEMBL3634616,9.0
CHEMBL3634514,1.0
CHEMBL3909749,7.9
CHEMBL3927743,6.3
CHEMBL4115348,20.0
CHEMBL4106994,20.0
CHEMBL4107634,201.0
CHEMBL3945694,100.0
CHEMBL4111179,49.0
CHEMBL4107356,30.0
CHEMBL4245507,10000.0
CHEMBL3939426,23.0
CHEMBL3962393,100.0
CHEMBL3929326,1521.0
CHEMBL3981799,1000.0
CHEMBL3980732,1000.0
CHEMBL3934792,1000.0
CHEMBL3586500,1000.0
CHEMBL4108668,15.0
CHEMBL3353203,14.0
CHEMBL4108289,82.0
CHEMBL3634383,0.2
CHEMBL3586498,100.0
CHEMBL3586490,1000.0
CHEMBL3921423,1000.0
CHEMBL4115266,19.4
CHEMBL4114035,575.0
CHEMBL4061890,5.9
CHEMBL3622184,635.0
CHEMBL3353188,0.36
CHEMBL4088523,390.0
CHEMBL4104005,19.0
CHEMBL3944326,437.0
CHEMBL4060511,3.0
CHEMBL4087971,17.0
CHEMBL4114127,9.9
CHEMBL4107677,4.8
CHEMBL3953023,6.5
CHEMBL4113443,3.4
CHEMBL4083650,7.0
CHEMBL3403445,410.0
CHEMBL4447648,30.0
CHEMBL3980091,100.0
CHEMBL3936754,100.0
CHEMBL4088438,140.0
CHEMBL4082572,32.0
CHEMBL4099061,16.0
CHEMBL4111508,2500.0
CHEMBL4106984,60.0
CHEMBL254546,700.0
CHEMBL4112749,1791.0
CHEMBL4107129,23.0
CHEMBL1990583,340.0
CHEMBL4112492,97.0
CHEMBL4113697,47.0
CHEMBL3960645,150.0
CHEMBL4581832,61.0
CHEMBL4108483,656.0
CHEMBL4107784,5900.0
CHEMBL3403436,830.0
CHEMBL3353202,6.0
CHEMBL3902218,541.0
CHEMBL3979957,91.0
CHEMBL3905639,3.1
CHEMBL4115028,32.0
CHEMBL3968759,100.0
CHEMBL4110266,8.0
CHEMBL3590478,9.0
CHEMBL3586497,1000.0
CHEMBL3983202,2000.0
CHEMBL3586488,100.0
CHEMBL4110843,8300.0
CHEMBL3910622,4.4
CHEMBL4114551,3.6
CHEMBL3958341,10.0
CHEMBL4107733,2.5
CHEMBL3984250,3.7
CHEMBL4112863,3.9
CHEMBL3973551,1000.0
CHEMBL3914414,100.0
CHEMBL3353207,100.0
CHEMBL4110840,2.3
CHEMBL3917759,4.7
CHEMBL3951642,1459.0
CHEMBL3927810,1503.0
CHEMBL3972693,1000.0
CHEMBL3983893,103.0
CHEMBL3941333,2452.0
CHEMBL3980058,10.3
CHEMBL3961753,100.0
CHEMBL3919571,72.0
CHEMBL3909398,1000.0
CHEMBL3914760,1000.0
CHEMBL3936302,100.0
CHEMBL3890992,1000.0
CHEMBL3969956,1000.0
CHEMBL3975331,100.0
CHEMBL4111712,8.4
CHEMBL3965756,16.0
CHEMBL3916291,5885.0
CHEMBL3909014,100.0
CHEMBL4583622,840.0
CHEMBL3931124,100.0
CHEMBL3895108,127.0
CHEMBL4108188,8.7
CHEMBL3942465,1000.0
CHEMBL3936608,1000.0
CHEMBL3926793,1000.0
CHEMBL3900598,1000.0
CHEMBL3936244,1000.0
