Title,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy,PDB EXPDTA PH,Standard Value
CHEMBL103667,-6.162,-0.158,-0.536,-1.321,-6.218,-4.045,0.0,-0.392,-51.236,1.402,0.592,-0.021,-58.742,-49.834,,30000.0
CHEMBL1232515,-8.323,-0.277,-0.862,-1.891,-8.52,-3.6,-0.36,-1.936,-43.66,-6.492,0.532,0.0,-83.828,-50.153,,8.0
CHEMBL1270399,-8.255,-0.266,-0.836,-1.862,-9.435,-3.543,-0.28,-2.043,-51.625,-9.001,0.362,0.0,-95.338,-60.626,,1800.0
CHEMBL1270795,-9.209,-0.4,-1.139,-2.227,-9.209,-3.452,-0.343,-2.668,-47.891,-4.593,0.338,0.0,-79.424,-52.484,,167.0
CHEMBL142425,-7.605,-0.282,-0.845,-1.77,-7.966,-4.801,-0.21,-1.244,-43.981,-1.595,0.727,0.0,-68.041,-45.576,,30000.0
CHEMBL1439445,-7.116,-0.297,-0.855,-1.703,-7.116,-3.033,0.0,-2.443,-45.901,-0.506,0.736,-0.005,-63.616,-46.407,,2200.0
CHEMBL1650533,-8.323,-0.277,-0.862,-1.891,-8.52,-3.6,-0.36,-1.936,-43.66,-6.492,0.532,0.0,-83.828,-50.153,,8.0
CHEMBL1650545,-8.951,-0.309,-0.948,-2.05,-9.583,-3.342,-0.288,-2.158,-46.82,-11.158,0.397,-0.178,-92.175,-57.978,,1000.0
CHEMBL1650551,-9.122,-0.315,-0.966,-2.089,-9.755,-3.396,-0.364,-2.165,-46.607,-11.432,0.397,-0.182,-92.689,-58.038,,640.0
CHEMBL1739550,-8.269,-0.295,-0.897,-1.909,-8.276,-3.475,-0.062,-1.429,-48.168,-10.008,0.625,-0.025,-90.099,-58.176,,56.0
CHEMBL1834657,-5.795,-0.152,-0.513,-1.25,-6.362,-2.255,-0.16,-0.39,-43.059,-10.445,0.381,-0.218,-70.803,-53.504,,10000.0
CHEMBL1929238,-7.395,-0.205,-0.678,-1.613,-7.401,-3.139,-0.587,0.019,-49.238,-9.857,0.396,-0.15,-73.568,-59.095,,30000.0
CHEMBL1938680,-8.292,-0.307,-0.921,-1.93,-8.299,-3.916,-0.2,-1.245,-41.871,-9.017,0.663,-0.155,-81.378,-50.888,,7500.0
CHEMBL1945559,-7.932,-0.331,-0.953,-1.899,-7.932,-2.922,-0.062,-1.964,-25.919,-10.632,0.0,-0.094,-57.296,-36.551,,10000.0
CHEMBL1990583,-5.437,-0.181,-0.563,-1.235,-5.438,-2.498,0.0,-0.669,-51.417,-2.094,0.718,-0.104,-64.21,-53.511,,340.0
CHEMBL2017214,-7.851,-0.262,-0.813,-1.784,-7.873,-3.142,0.0,-1.583,-47.257,-9.652,0.663,0.0,-85.885,-56.908,,40000.0
CHEMBL2018055,-6.785,-0.251,-0.754,-1.579,-6.785,-3.71,-0.263,-0.881,-32.924,-5.053,0.473,0.0,-43.475,-37.977,,170.0
CHEMBL2018064,-8.094,-0.311,-0.922,-1.901,-8.116,-3.309,-0.109,-1.608,-36.357,-12.019,0.554,-0.024,-66.296,-48.376,,240.0
CHEMBL2018065,-8.878,-0.329,-0.986,-2.067,-8.931,-3.949,-0.136,-1.402,-35.879,-14.265,0.519,-0.029,-61.137,-50.143,,1060.0
CHEMBL2018068,-8.62,-0.287,-0.893,-1.958,-8.679,-4.221,-0.144,-0.742,-42.421,-13.979,0.646,0.0,-74.042,-56.4,,240.0
